period_ns,frequency_mhz,mode,slack_ns,area,timing_status
20,50.0,no_autoungroup,15.5178,,OK
18,55.5555555556,no_autoungroup,13.4977,,OK
16,62.5,no_autoungroup,11.4977,,OK
14,71.4285714286,no_autoungroup,9.49772,,OK
12,83.3333333333,no_autoungroup,7.49772,,OK
10,100.0,no_autoungroup,5.49772,,OK
8,125.0,no_autoungroup,3.49772,,OK
6,166.666666667,no_autoungroup,1.49772,,OK
4,250.0,no_autoungroup,-0.0756478,,VIOLATED
2,500.0,no_autoungroup,-2.38863,,VIOLATED
20,50.0,autoungroup,15.6769,,OK
18,55.5555555556,autoungroup,13.5633,,OK
16,62.5,autoungroup,11.6769,,OK
14,71.4285714286,autoungroup,9.56326,,OK
12,83.3333333333,autoungroup,7.67689,,OK
10,100.0,autoungroup,5.56326,,OK
8,125.0,autoungroup,3.67689,,OK
6,166.666666667,autoungroup,1.56326,,OK
4,250.0,autoungroup,-0.0747771,,VIOLATED
2,500.0,autoungroup,-2.44511,,VIOLATED
