run,project,top,technology,period_ns,frequency_mhz,mode,preset,input_source,retiming_pass,power_activity,max_opcond,min_opcond,saif_file,setup_status,setup_wns_ns,setup_tns_ns,setup_violating_paths,hold_status,hold_wns_ns,hold_tns_ns,hold_violating_paths,cell_area,design_area,dynamic_power_uw,leakage_power_uw,total_power_uw,compile_cpu_s,compile_wall_s,drv_violating_nets,timing_status,qor_status
P20_no_autoungroup,vending_machine,vending_top,SAED32,20,50.0,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,15.5,0.0,0,VIOLATED,-0.37,-16.98,56,851.128267,1009.764746,34.3669,82.4875,116.8544,0.81,1.11,0,VIOLATED,VIOLATED
P18_no_autoungroup,vending_machine,vending_top,SAED32,18,55.5555555556,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,13.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,38.1986,82.3329,120.5315,0.8,1.11,0,VIOLATED,VIOLATED
P16_no_autoungroup,vending_machine,vending_top,SAED32,16,62.5,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,11.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,42.9735,82.3329,125.3064,0.8,1.11,0,VIOLATED,VIOLATED
P14_no_autoungroup,vending_machine,vending_top,SAED32,14,71.4285714286,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,9.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,49.1125,82.3329,131.4454,0.81,1.12,0,VIOLATED,VIOLATED
P12_no_autoungroup,vending_machine,vending_top,SAED32,12,83.3333333333,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,7.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,57.298,82.3329,139.6309,0.8,1.1,0,VIOLATED,VIOLATED
P10_no_autoungroup,vending_machine,vending_top,SAED32,10,100.0,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,5.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,68.7576,82.3329,151.0905,0.8,1.1,0,VIOLATED,VIOLATED
P8_no_autoungroup,vending_machine,vending_top,SAED32,8,125.0,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,3.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,85.9469,82.3329,168.2798,0.8,1.11,0,VIOLATED,VIOLATED
P6_no_autoungroup,vending_machine,vending_top,SAED32,6,166.666666667,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,PASS,1.5,0.0,0,VIOLATED,-0.37,-17.01,56,851.890699,1010.387774,114.5959,82.3329,196.9288,0.79,1.1,0,VIOLATED,VIOLATED
P4_no_autoungroup,vending_machine,vending_top,SAED32,4,250.0,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,VIOLATED,-0.07,-1.09,24,VIOLATED,-0.37,-18.62,56,1014.542865,1186.922144,133.1046,103.2412,236.3458,1.62,1.93,0,VIOLATED,VIOLATED
P2_no_autoungroup,vending_machine,vending_top,SAED32,2,500.0,no_autoungroup,timing,unmapped_ddc,disabled,default_or_manual,,,,VIOLATED,-2.06,-133.77,73,VIOLATED,-0.36,-17.32,52,1083.161746,1259.445556,236.0008,115.4274,351.4282,5.08,5.4,0,VIOLATED,VIOLATED
